Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FGM,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FTM,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,eFG%,TS%,hAST%,TOV%,OER,PER
66,Moses Brown,C,23,TOT,36,1,294,7.5,11.8,4.3,0.635,0,0,,7.5,11.8,0.635,4,8.8,4.8,0.458,7,10,17,0.5,0.5,1.7,1.8,4.8,19,63.55932203,59.44931164,2.735229759,9.846827133,1.082004556,0.052721088
66,Moses Brown,C,23,LAC,34,1,288,7.6,12,4.4,0.635,0,0,,7.6,12,0.635,4.1,9,4.9,0.458,7.1,10.2,17.4,0.5,0.4,1.7,1.7,4.7,19.4,63.33333333,59.60061444,2.706359946,9.201623816,1.092957746,0.055555556
66,Moses Brown,C,23,BRK,2,0,6,0,0,0,,0,0,,0,0,,0,0,0,,0,0,0,0,6,0,6,6,0,0,0,0,100,0,-1
67,Sterling Brown,SF,27,LAL,4,0,24,0,6,6,0,0,3,0,0,3,0,0,0,0,,4.5,7.5,12,3,4.5,0,0,6,0,25,0,33.33333333,0,0,0.3125
68,Troy Brown Jr.,SF,23,LAL,76,45,1860,3.9,9,5.1,0.43,2.1,5.4,0.381,1.8,3.6,0.505,0.7,0.8,0.1,0.872,1.2,4.8,6,1.8,1.1,0.3,0.9,2.3,10.5,73.33333333,55.97014925,14.90066225,7.450331126,1.023391813,0.004032258
69,Jalen Brunson,PG,26,NYK,68,68,2379,8.9,18.1,9.2,0.491,2,4.9,0.416,6.9,13.2,0.519,4.9,5.9,1,0.829,0.6,3,3.6,6.4,0.9,0.2,2.1,2.3,24.7,62.70718232,59.08384165,21.76685656,7.142249809,1.080726318,0.00517024
70,Thomas Bryant,C,25,TOT,59,26,1081,7.7,12.3,4.6,0.623,0.9,2,0.441,6.8,10.3,0.658,3.1,4.2,1.1,0.738,2.9,8.4,11.3,1,0.5,1,1.3,3.4,19.3,70.73170732,67.50612102,6.025911419,7.833684845,1.245965139,0.013968548
70,Thomas Bryant,C,25,LAL,41,25,876,8.1,12.4,4.3,0.654,0.9,2.1,0.44,7.2,10.3,0.697,3.3,4.4,1.1,0.741,2.8,8.7,11.5,1.2,0.6,0.9,1.2,3.2,20.4,73.79032258,70.39337474,7.104795737,7.104795737,1.309370988,0.019063927
70,Thomas Bryant,C,25,DEN,18,1,205,5.8,11.9,6.1,0.485,0.7,1.6,0.444,5.1,10.4,0.492,2.3,3.2,0.9,0.722,3.3,7.2,10.5,0.4,0.4,1.2,1.8,4.4,14.6,55.46218487,54.39642325,2.560819462,11.52368758,0.964332893,0.039512195
71,Reggie Bullock,SF,31,DAL,78,55,2364,2.9,7.2,4.3,0.409,2.3,6,0.38,0.6,1.1,0.562,0.4,0.6,0.2,0.703,0.5,3.8,4.3,1.6,0.8,0.2,0.5,2.5,8.5,81.94444444,56.78022712,16.69274909,5.21648409,1.066499373,0.002115059
72,Alec Burks,SG,31,DET,51,8,1122,6.4,14.7,8.3,0.436,3.2,7.7,0.414,3.2,7.1,0.459,4.9,6,1.1,0.814,0.6,4.5,5.1,3.7,1.2,0.3,1.9,3.1,20.9,69.72789116,59.54415954,15.98272138,8.207343413,1.082901554,0.009269162
73,Deonte Burton,PF,29,SAC,2,0,6,0,12,12,0,0,6,0,0,6,0,0,0,0,,0,0,0,0,0,0,0,0,0,25,0,0,0,0,-2
74,Jared Butler,PG,22,OKC,6,1,77,7,15,8,0.469,3.3,6.5,0.5,3.7,8.4,0.444,0,0,0,,0.5,1.4,1.9,3.7,2.3,0,2.3,2.3,17.3,68.33333333,57.66666667,17.61904762,10.95238095,1,0.072727273
75,Jimmy Butler,PF,33,MIA,64,64,2138,8.1,15,6.9,0.539,0.6,1.7,0.35,7.5,13.2,0.564,7.9,9.3,1.4,0.85,2.4,3.9,6.3,5.7,2,0.4,1.7,1.3,24.7,59.66666667,63.6024205,21.25477766,6.339144216,1.182666986,0.009214219
76,John Butler,C,20,POR,19,1,221,2.8,8.6,5.8,0.321,1.3,5.7,0.229,1.5,2.9,0.5,0.5,0.7,0.2,0.75,0.5,2.3,2.8,1.8,1.1,1.5,0.2,3.6,7.3,65.69767442,40.86202071,16.46466956,1.829407729,0.800877674,0.009049774
77,Jamal Cain,PF,23,MIA,18,0,240,5.5,9.9,4.4,0.561,1,3,0.35,4.5,6.9,0.652,2.5,3.3,0.8,0.773,2.3,5.5,7.8,1.8,1.6,0.1,0.9,3.2,14.7,70.70707071,64.0941792,12.70513499,6.352567496,1.196581197,0.045833333
78,Kentavious Caldwell-Pope,SG,29,DEN,76,76,2381,4.4,9.6,5.2,0.462,2,4.8,0.423,2.4,4.7,0.502,1.6,1.9,0.3,0.824,0.5,2.6,3.1,2.8,1.7,0.5,1.3,2.2,12.4,70.83333333,59.03356344,19.17479884,8.902585174,1.054870268,0.00298194
